Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
10766111396,"Feb 15, 2024, 9:12:55 AM",Morning Ride 15.02,Ride,to chyba było do Trojanowic na jakiejś aplikacji Under Armour,4080,14.80,,,false,"",Unibike Viper,,,14.7,4080.0,4080.0,14800.0,,3.627,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,45.0,0.0,,0.0,,,,,,,,,,,,,,,,13853240.0,,,,,,,,,,,0.0,3.627,0.0,,,,,,,,,,,,,,,,,,,""
10890134141,"Feb 15, 2024, 3:24:46 PM",Afternoon Ride,Ride,"",2317,9.40,,,false,"",Unibike Viper,activities/10890134141.gpx,,14.7,2317.0,2223.0,9406.1,12.746,4.231,150.4,150.6,280.7,398.7,16.6,0.0,,,,,,,,112.0,278.0,,,,,,,,,,,,,,,,0.0,,1.0,,1708009216.0,1.0,11.3,10.6,5.9,0.69,1021.8,1.5,2.5,153.0,0.0,1707976320.0,1708012672.0,0.125,13853240.0,,0.0,1.0,0.08,33967.0,0.0,,,,,0.0,4.06,853.8,,,,,,,,,,,,,,,,,,,""
10890134194,"Feb 28, 2024, 3:09:07 PM",Afternoon Weight Training,Workout,"",2581,0,154.0,8,false,"",,activities/11640644280.fit.gz,,,2581.0,2581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,114.0,,,270.0,,,8.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
10890134195,"Feb 24, 2024, 4:13:41 PM",Afternoon Ride,Ride,"",3055,9.92,,,false,"",Unibike Viper,activities/10890134195.gpx,,14.7,3055.0,2699.0,9927.7,13.518,3.678,125.0,123.9,331.9,400.3,13.5,0.0,,,,,,,,111.0,334.0,,,,,,,,,,,,,,,,0.0,,1.0,,1708790400.0,3.0,8.5,7.7,4.4,0.75,1010.3,1.0,1.6,219.0,0.0,1708752896.0,1708791168.0,0.375,13853240.0,,0.0,1.0,0.93,31762.2,0.0,,,,,0.0,3.25,110.2,,,,,,,,,,,,,,,,,,,""
10890134222,"Feb 28, 2024, 2:33:57 PM",Afternoon Ride,Ride,"",1155,7.22,173.0,37,true,"",Unibike Viper,activities/11640644255.fit.gz,,14.7,1155.0,1122.0,7225.3,15.822,6.44,59.0,119.0,261.0,352.2,13.4,-0.8,,,,,,159.0,,136.0,260.0,,19.0,37.0,,,,,,,,,,,0.0,,1.0,,1.0,,1709128832.0,3.0,14.0,13.4,8.7,0.7,1018.0,2.5,4.9,289.0,0.0,1709097984.0,1709137152.0,0.625,13853240.0,,0.0,1.0,0.76,18425.1,1.0,,,,,0.0,6.256,0.0,,,,,,,,,,,,,,,,,,,""
10890134233,"Feb 25, 2024, 10:42:03 AM",Lunch Ride,Ride,"",4743,20.35,,,false,"",Unibike Viper,activities/10890134233.gpx,,14.7,4743.0,4386.0,20351.6,15.28,4.64,304.6,305.0,249.8,374.6,19.7,0.0,,,,,,,,129.0,630.0,,,,,,,,,,,,,,,,0.0,,1.0,,1708855168.0,2.0,10.3,9.5,5.0,0.7,1011.2,3.0,6.6,129.0,0.0,1708839168.0,1708877696.0,0.5,13853240.0,,0.0,1.0,0.43,28667.7,1.0,,,,,0.0,4.291,778.0,,,,,,,,,,,,,,,,,,,""
10890134246,"Feb 28, 2024, 3:58:03 PM",Afternoon Ride,Ride,"",1665,7.24,168.0,33,true,"",Unibike Viper,activities/11640644301.fit.gz,,14.7,1665.0,1650.0,7243.0,12.48,4.39,114.0,64.0,246.8,336.4,29.9,0.7,,,,,,148.0,,123.0,333.0,,18.0,33.0,,,,,,,,,,,0.0,,1.0,,1.0,,1709132416.0,3.0,13.5,12.9,8.9,0.74,1018.3,2.3,4.5,298.0,0.4,1709097984.0,1709137152.0,0.625,13853240.0,,0.45,5.0,0.86,19706.7,0.0,,,,,0.0,4.35,0.0,,,,,,,,,,,,,,,,,,,""
10890134252,"Feb 26, 2024, 3:53:42 PM",Afternoon Ride,Ride,"",2216,8.94,177.0,61,false,"",Unibike Viper,activities/11640644221.fit.gz,,14.7,2216.0,2110.0,8947.3,16.116,4.24,189.0,192.0,257.2,354.0,41.0,0.0,,,,,,155.0,,130.0,477.0,,,61.0,,,,,,,,,,,0.0,,0.0,,1.0,,1708959616.0,3.0,13.2,12.6,8.2,0.72,1007.0,2.1,4.1,157.0,0.0,1708925440.0,1708964224.0,0.625,13853240.0,,0.0,1.0,0.95,29683.3,0.0,,,,,0.0,4.038,0.0,,,,,,,,,,,,,,,,,,,""
10890134253,"Feb 24, 2024, 9:30:16 AM",Morning Ride,Ride,"",6761,23.74,,,false,"",Unibike Viper,activities/10890134253.gpx,,14.7,6761.0,5933.0,23745.6,12.604,4.002,471.6,471.5,254.2,398.7,28.8,0.0,,,,,,,,120.0,793.0,,,,,,,,,,,,,,,,0.0,,1.0,,1708765184.0,3.0,9.4,7.0,6.0,0.79,1005.2,4.7,8.0,273.0,0.0,1708752896.0,1708791168.0,0.375,13853240.0,,0.0,1.0,0.93,18769.7,1.0,,,,,0.0,3.512,3305.4,,,,,,,,,,,,,,,,,,,""
10890134256,"Feb 16, 2024, 8:31:16 AM",Morning Ride,Ride,"",3783,12.19,,,false,"",Unibike Viper,activities/10890134256.gpx,,14.7,3783.0,3251.0,12190.0,13.646,3.75,279.4,279.4,274.7,398.7,28.9,0.0,,,,,,,,120.0,434.0,,,,,,,,,,,,,,,,0.0,,1.0,,1708070400.0,1.0,4.5,3.7,2.1,0.84,1022.9,1.1,2.9,135.0,0.0,1708062592.0,1708099200.0,0.125,13853240.0,,0.0,1.0,0.31,19463.1,1.0,,,,,0.0,3.222,1827.3,,,,,,,,,,,,,,,,,,,""
10890134263,"Feb 27, 2024, 3:07:06 PM",Afternoon Ride,Ride,"",3161,14.04,183.0,99,false,"",Unibike Viper,activities/11640644236.fit.gz,,14.7,3161.0,2993.0,14047.7,16.574,4.694,289.0,305.0,252.4,376.0,17.3,-0.1,,,,,,159.0,,139.0,634.0,,18.0,99.0,,,,,,,,,,,0.0,,0.0,,1.0,,1709046016.0,3.0,14.9,14.3,9.1,0.68,1012.7,1.4,2.1,109.0,0.0,1709011712.0,1709050624.0,0.625,13853240.0,,0.0,1.0,0.76,26208.6,0.0,,,,,0.0,4.444,0.0,,,,,,,,,,,,,,,,,,,""
10890134273,"Feb 21, 2024, 10:32:09 AM",Lunch Hike,Hike,"",8714,4.15,,,false,"",,activities/10890134273.gpx,,,8714.0,4249.0,4158.1,7.051,0.979,237.8,228.8,385.3,623.9,46.2,0.1,,,98.0,53.0,,,,,360.0,,,,,,,,,,,,,,,,0.0,,1.0,,1708509568.0,3.0,5.2,2.7,3.0,0.85,1020.3,3.2,6.9,231.0,0.0,1708495104.0,1708532608.0,0.375,,,0.0,1.0,0.93,5542.0,1.0,,,,,0.0,0.477,1562.1,,,,,,,,,,,,,,,,,,,""
